pot_id,plant_num,plant_species,above_biomass_g,below_biomass_g,date,notes,,,,,,,,,,,,,,,,,,,
108_N_CnEp_BRE,2,Eutrochium fistulosum,1.583,3.279,8/16/2020,,,,,,,,,,,,,,,,,,,,
109_N_CnEp_BRE,1,Chamaecrista nictitans,1.237,0.235,8/18/2020,,,,,,,,,,,,,,,,,,,,
109_N_CnEp_BRE,2,Eutrochium fistulosum,0.436,0.704,8/18/2020,,,,,,,,,,,,,,,,,,,,
110_N_CnEp_BRE,1,Chamaecrista nictitans,0.769,0.226,8/18/2020,,,,,,,,,,,,,,,,,,,,
110_N_CnEp_BRE,2,Eutrochium fistulosum,0.333,1.221,8/18/2020,,,,,,,,,,,,,,,,,,,,
111_N_CnEv_BRE,1,Chamaecrista nictitans,0.813,0.102,8/15/2020,,,,,,,,,,,,,,,,,,,,
111_N_CnEv_BRE,2,Elymus virginicus,0.294,0.635,8/15/2020,,,,,,,,,,,,,,,,,,,,
112_N_CnEv_BRE,1,Chamaecrista nictitans,0.88,0.222,8/17/2020,,,,,,,,,,,,,,,,,,,,
112_N_CnEv_BRE,2,Elymus virginicus,0.345,0.41,8/17/2020,,,,,,,,,,,,,,,,,,,,
113_N_CnEv_BRE,1,Chamaecrista nictitans,0.148,0.338,8/16/2020,,,,,,,,,,,,,,,,,,,,
113_N_CnEv_BRE,2,Elymus virginicus,0.622,0.128,8/16/2020,,,,,,,,,,,,,,,,,,,,
114_N_CnEv_BRE,1,Chamaecrista nictitans,2.865,0.501,8/16/2020,,,,,,,,,,,,,,,,,,,,
