yard,week,pot_id,pot_order,pot_row,pot_col,rnd_seed,date,combination,mono_hetero,nitrogen,plant_num,plant_species,leaves_emerged,leaves_emerging,leaves_dead,leaf_height,leaf_width,dead,resprout,notes,check notes
SMI,3,138_X_CnEp_SMI,15,2,10,11,8/3/2020,,,,2,Eutrochium fistulosum,4,6,0,1.5,1.2,N,N,,
SMI,3,128_X_EpEp_SMI,16,2,9,11,8/3/2020,,,,1,Eutrochium fistulosum,36,41,0,3.5,1.9,N,N,,
SMI,3,128_X_EpEp_SMI,16,2,9,11,8/3/2020,,,,2,Eutrochium fistulosum,59,31,2,4,2.1,N,N,,
SMI,3,121_X_CnCn_SMI,17,2,8,11,8/3/2020,,,,1,Chamaecrista nictitans,40,21,0,4.1,3,N,N,,
SMI,3,121_X_CnCn_SMI,17,2,8,11,8/3/2020,,,,2,Chamaecrista nictitans,41,21,0,4.1,2.6,N,N,,
SMI,3,167_N_CnEp_SMI,18,2,7,11,8/3/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,
SMI,3,167_N_CnEp_SMI,18,2,7,11,8/3/2020,,,,2,Eutrochium fistulosum,42,24,1,4,2.1,N,N,,
SMI,3,178_N_EpEv_SMI,19,2,6,11,8/3/2020,,,,1,Eutrochium fistulosum,23,16,0,4.5,2.5,N,N,,
SMI,3,178_N_EpEv_SMI,19,2,6,11,8/3/2020,,,,2,Elymus virginicus,8,8,2,15.9,0.3,N,N,,
SMI,3,140_X_CnEp_SMI,20,2,5,11,8/3/2020,,,,1,Chamaecrista nictitans,30,17,0,3.2,2.6,N,N,,
SMI,3,140_X_CnEp_SMI,20,2,5,11,8/3/2020,,,,2,Eutrochium fistulosum,14,25,8,3.1,1.5,N,N,,
SMI,3,175_N_CnEv_SMI,21,2,4,11,8/3/2020,,,,1,Chamaecrista nictitans,53,25,0,3.5,2.9,N,N,,
SMI,3,175_N_CnEv_SMI,21,2,4,11,8/3/2020,,,,2,Elymus virginicus,5,9,0,9.3,0.2,N,N,,
SMI,3,132_X_EvEv_SMI,22,2,3,11,8/3/2020,,,,1,Elymus virginicus,6,3,3,9.8,0.2,N,N,,
SMI,3,132_X_EvEv_SMI,22,2,3,11,8/3/2020,,,,2,Elymus virginicus,12,5,6,8.4,0.3,N,N,,
SMI,3,174_N_CnEv_SMI,23,2,2,11,8/3/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,
SMI,3,174_N_CnEv_SMI,23,2,2,11,8/3/2020,,,,2,Elymus virginicus,9,10,0,7.5,0.5,N,N,,
SMI,3,169_N_CnEp_SMI,24,2,1,11,8/3/2020,,,,1,Chamaecrista nictitans,67,21,0,3.3,3,N,N,,
SMI,3,169_N_CnEp_SMI,24,2,1,11,8/3/2020,,,,2,Eutrochium fistulosum,30,16,1,3.3,2.2,N,N,,
SMI,3,176_N_EpEv_SMI,25,3,1,11,8/3/2020,,,,1,Eutrochium fistulosum,33,29,0,4.5,1.9,N,N,,
SMI,3,176_N_EpEv_SMI,25,3,1,11,8/3/2020,,,,2,Elymus virginicus,6,3,4,8.1,0.4,N,N,,
SMI,3,136_X_CnEp_SMI,26,3,2,11,8/3/2020,,,,1,Chamaecrista nictitans,0,0,0,NA,NA,N,N,has cotyledon,
SMI,3,136_X_CnEp_SMI,26,3,2,11,8/3/2020,,,,2,Eutrochium fistulosum,38,16,1,3.5,1.9,N,N,,
SMI,3,142_X_CnEv_SMI,27,3,3,11,8/3/2020,,,,1,Chamaecrista nictitans,19,5,0,2.9,2,N,N,,
SMI,3,142_X_CnEv_SMI,27,3,3,11,8/3/2020,,,,2,Elymus virginicus,8,7,4,13.7,0.5,N,N,,
SMI,3,164_N_EvEv_SMI,28,3,4,11,8/3/2020,,,,1,Elymus virginicus,0,5,0,NA,NA,N,N,,
SMI,3,164_N_EvEv_SMI,28,3,4,11,8/3/2020,,,,2,Elymus virginicus,9,9,4,13,0.3,N,N,,
SMI,3,170_N_CnEp_SMI,29,3,5,11,8/3/2020,,,,1,Chamaecrista nictitans,2,1,0,2,2.4,N,N,,
SMI,3,170_N_CnEp_SMI,29,3,5,11,8/3/2020,,,,2,Eutrochium fistulosum,0,21,0,NA,NA,N,N,,
SMI,3,123_X_CnCn_SMI,30,3,6,11,8/3/2020,,,,1,Chamaecrista nictitans,37,11,1,4.8,3.1,N,N,,
SMI,3,123_X_CnCn_SMI,30,3,6,11,8/3/2020,,,,2,Chamaecrista nictitans,46,14,0,3.6,2.5,N,N,,
